/Users/zhaoqianxue/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
[*] Detected total rows: 304391
[*] Total Target Rows: 304391
[*] Remaining Batches: 3044 (Batch Size: 100)
[*] Parallel Workers: 10
--------------------------------------------------

[+] PROGRESS:  10.02% | Batches Done: 305/3044 | ETA: 19.2 min
[+] PROGRESS:  10.05% | Batches Done: 306/3044 | ETA: 19.2 min
[+] PROGRESS:  10.09% | Batches Done: 307/3044 | ETA: 19.2 min
[+] PROGRESS:  10.12% | Batches Done: 308/3044 | ETA: 19.1 min
[+] PROGRESS:  10.15% | Batches Done: 309/3044 | ETA: 19.1 min
[+] PROGRESS:  10.18% | Batches Done: 310/3044 | ETA: 19.1 min
[+] PROGRESS:  10.22% | Batches Done: 311/3044 | ETA: 19.1 min
[+] PROGRESS:  10.25% | Batches Done: 312/3044 | ETA: 19.0 min
[+] PROGRESS:  10.28% | Batches Done: 313/3044 | ETA: 19.1 min
[+] PROGRESS:  10.32% | Batches Done: 314/3044 | ETA: 19.1 min
[+] PROGRESS:  10.35% | Batches Done: 315/3044 | ETA: 19.0 min
[+] PROGRESS:  10.38% | Batches Done: 316/3044 | ETA: 19.0 min
[+] PROGRESS:  10.41% | Batches Done: 317/3044 | ETA: 19.0 min
[+] PROGRESS:  10.45% | Batches Done: 318/3044 | ETA: 19.0 min
[+] PROGRESS:  10.48% | Batches Done: 319/3044 | ETA: 19.0 min
[+] PROGRESS:  10.51% | Batches Done: 320/3044 | ETA: 19.0 min
[+] PROGRESS:  10.55% | Batches Done: 321/3044 | ETA: 19.0 min
[+] PROGRESS:  10.58% | Batches Done: 322/3044 | ETA: 19.0 min
[+] PROGRESS:  10.61% | Batches Done: 323/3044 | ETA: 18.9 min
[+] PROGRESS:  10.64% | Batches Done: 324/3044 | ETA: 18.9 min
[+] PROGRESS:  10.68% | Batches Done: 325/3044 | ETA: 18.9 min
[+] PROGRESS:  10.71% | Batches Done: 326/3044 | ETA: 18.9 min
